Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/07  16:00:00,136691926.27929765,882744162.8962058 
 01/07  17:00:00,149151820.0942437,882744162.8962058 
 01/07  18:00:00,52015360.4193784,824394452.0555365 
 01/07  19:00:00,52015360.4193784,824394452.0555365 
 01/07  20:00:00,41707937.258317545,746122165.6661774 
 01/07  21:00:00,36464788.34797145,746122165.6661774 
 01/07  22:00:00,36464788.34797145,746122165.6661774 
 01/07  23:00:00,36464788.34797145,746122165.6661774 
 01/07  24:00:00,36464788.34797145,746122165.6661774 
 01/08  01:00:00,36464788.34797145,746122165.6661774 
 01/08  02:00:00,36464788.34797145,746122165.6661774 
 01/08  03:00:00,36464788.34797145,746122165.6661774 
 01/08  04:00:00,36464788.34797145,746122165.6661774 
 01/08  05:00:00,36464788.34797145,746122165.6661774 
 01/08  06:00:00,36464788.34797145,746122165.6661774 
 01/08  07:00:00,48092070.92212643,824394452.0555365 
 01/08  08:00:00,48879425.95310166,824394452.0555365 
 01/08  09:00:00,44734127.06664909,824394452.0555365 
 01/08  10:00:00,44764250.05037906,824394452.0555365 
 01/08  11:00:00,45016724.73103144,824394452.0555365 
 01/08  12:00:00,44737073.28438762,824394452.0555365 
 01/08  13:00:00,44734127.06664909,824394452.0555365 
 01/08  14:00:00,44734127.06664909,824394452.0555365 
 01/08  15:00:00,44734127.06664909,824394452.0555365 
 01/08  16:00:00,45118521.95078067,824394452.0555365 
 01/08  17:00:00,49584144.12307866,824394452.0555365 
 01/08  18:00:00,52015360.4193784,824394452.0555365 
 01/08  19:00:00,41707937.258317545,746122165.6661774 
 01/08  20:00:00,36464788.34797145,746122165.6661774 
 01/08  21:00:00,36464788.34797145,746122165.6661774 
 01/08  22:00:00,36464788.34797145,746122165.6661774 
 01/08  23:00:00,36464788.34797145,746122165.6661774 
 01/08  24:00:00,36464788.34797145,746122165.6661774 
 01/09  01:00:00,36464788.34797145,836730825.2177298 
 01/09  02:00:00,36464788.34797145,836730825.2177298 
 01/09  03:00:00,36464788.34797145,836730825.2177298 
 01/09  04:00:00,36464788.34797145,836730825.2177298 
 01/09  05:00:00,36464788.34797145,836730825.2177298 
 01/09  06:00:00,37975250.63110626,836730825.2177298 
 01/09  07:00:00,87445560.3280437,941093873.736875 
 01/09  08:00:00,295996046.92752576,941093873.736875 
 01/09  09:00:00,806704922.034373,1524590982.1435688 
 01/09  10:00:00,805214287.1996835,1524590982.1435688 
 01/09  11:00:00,805214287.1996835,1524590982.1435688 
 01/09  12:00:00,805214287.1996835,1524590982.1435688 
 01/09  13:00:00,805214287.1996835,1407891560.4622302 
 01/09  14:00:00,805214287.1996835,1524590982.1435688 
 01/09  15:00:00,805297166.1894192,1524590982.1435688 
 01/09  16:00:00,819677180.9478772,1524590982.1435688 
 01/09  17:00:00,892998035.5840123,1524590982.1435688 
 01/09  18:00:00,520153604.193784,1057793295.4182141 
 01/09  19:00:00,312092162.51627046,941093873.736875 
 01/09  20:00:00,312092162.51627046,941093873.736875 
 01/09  21:00:00,208061441.6775136,941093873.736875 
 01/09  22:00:00,208061441.6775136,941093873.736875 
 01/09  23:00:00,104030720.8387568,941093873.736875 
 01/09  24:00:00,52015360.4193784,941093873.736875 
 01/10  01:00:00,41707937.258317545,836730825.2177298 
 01/10  02:00:00,36464788.34797145,836730825.2177298 
 01/10  03:00:00,36464788.34797145,836730825.2177298 
 01/10  04:00:00,36464788.34797145,836730825.2177298 
 01/10  05:00:00,36464788.34797145,836730825.2177298 
 01/10  06:00:00,37975250.63110626,836730825.2177298 
 01/10  07:00:00,87445560.3280437,941093873.736875 
 01/10  08:00:00,296071377.34437644,941093873.736875 
 01/10  09:00:00,806761422.2531183,1524590982.1435688 
 01/10  10:00:00,805214287.1996835,1524590982.1435688 
 01/10  11:00:00,805214287.1996835,1524590982.1435688 
 01/10  12:00:00,805214287.1996835,1524590982.1435688 
 01/10  13:00:00,805214287.1996835,1407891560.4622302 
 01/10  14:00:00,805214287.1996835,1524590982.1435688 
 01/10  15:00:00,805260194.8769253,1524590982.1435688 
 01/10  16:00:00,819061451.900283,1524590982.1435688 
 01/10  17:00:00,891527582.6333027,1524590982.1435688 
 01/10  18:00:00,520153604.193784,1057793295.4182141 
 01/10  19:00:00,312092162.51627046,941093873.736875 
 01/10  20:00:00,312092162.51627046,941093873.736875 
 01/10  21:00:00,208061441.6775136,941093873.736875 
 01/10  22:00:00,208061441.6775136,941093873.736875 
 01/10  23:00:00,104030720.8387568,941093873.736875 
 01/10  24:00:00,52015360.4193784,941093873.736875 
 01/11  01:00:00,41707937.258317545,836730825.2177298 
 01/11  02:00:00,36464788.34797145,836730825.2177298 
 01/11  03:00:00,36464788.34797145,836730825.2177298 
 01/11  04:00:00,36464788.34797145,836730825.2177298 
 01/11  05:00:00,36464788.34797145,836730825.2177298 
 01/11  06:00:00,37975250.63110626,836730825.2177298 
 01/11  07:00:00,87445560.3280437,941093873.736875 
 01/11  08:00:00,293529432.07055426,941093873.736875 
 01/11  09:00:00,805214287.1996835,1524590982.1435688 
 01/11  10:00:00,805214287.1996835,1524590982.1435688 
 01/11  11:00:00,805214287.1996835,1524590982.1435688 
 01/11  12:00:00,805214287.1996835,1524590982.1435688 
 01/11  13:00:00,805214287.1996835,1407891560.4622302 
 01/11  14:00:00,805214287.1996835,1524590982.1435688 
 01/11  15:00:00,805214287.1996835,1524590982.1435688 
 01/11  16:00:00,808907072.2308599,1524590982.1435688 
 01/11  17:00:00,909183770.0136799,1524590982.1435688 
 01/11  18:00:00,520153604.193784,1057793295.4182141 
 01/11  19:00:00,312092162.51627046,941093873.736875 
 01/11  20:00:00,312092162.51627046,941093873.736875 
 01/11  21:00:00,208061441.6775136,941093873.736875 
 01/11  22:00:00,208061441.6775136,941093873.736875 
 01/11  23:00:00,104030720.8387568,941093873.736875 
 01/11  24:00:00,52015360.4193784,941093873.736875 
 01/12  01:00:00,41707937.258317545,836730825.2177298 
 01/12  02:00:00,36464788.34797145,836730825.2177298 
 01/12  03:00:00,36464788.34797145,836730825.2177298 
 01/12  04:00:00,36464788.34797145,836730825.2177298 
 01/12  05:00:00,36464788.34797145,836730825.2177298 
 01/12  06:00:00,37975250.63110626,836730825.2177298 
 01/12  07:00:00,87445560.3280437,941093873.736875 
 01/12  08:00:00,297251720.3093923,941093873.736875 
 01/12  09:00:00,811368000.9952075,1524590982.1435688 
 01/12  10:00:00,814094140.8461723,1524590982.1435688 
 01/12  11:00:00,805262615.2520158,1524590982.1435688 
 01/12  12:00:00,805214287.1996835,1524590982.1435688 
 01/12  13:00:00,805214287.1996835,1407891560.4622302 
 01/12  14:00:00,805214287.1996835,1524590982.1435688 
 01/12  15:00:00,805214287.1996835,1524590982.1435688 
 01/12  16:00:00,808013509.4467406,1524590982.1435688 
 01/12  17:00:00,884459616.0620033,1524590982.1435688 
 01/12  18:00:00,520153604.193784,1057793295.4182141 
 01/12  19:00:00,312092162.51627046,941093873.736875 
 01/12  20:00:00,312092162.51627046,941093873.736875 
 01/12  21:00:00,208061441.6775136,941093873.736875 
 01/12  22:00:00,208061441.6775136,941093873.736875 
 01/12  23:00:00,104030720.8387568,941093873.736875 
 01/12  24:00:00,52015360.4193784,941093873.736875 
 01/13  01:00:00,41707937.258317545,836730825.2177298 
 01/13  02:00:00,36464788.34797145,836730825.2177298 
 01/13  03:00:00,36464788.34797145,836730825.2177298 
 01/13  04:00:00,36464788.34797145,836730825.2177298 
 01/13  05:00:00,36464788.34797145,836730825.2177298 
 01/13  06:00:00,37975250.63110626,836730825.2177298 
 01/13  07:00:00,87445560.3280437,941093873.736875 
 01/13  08:00:00,292981447.35184044,941093873.736875 
 01/13  09:00:00,805214287.1996835,1524590982.1435688 
 01/13  10:00:00,816204249.6391039,1524590982.1435688 
 01/13  11:00:00,808385974.3398548,1524590982.1435688 
 01/13  12:00:00,805214287.1996835,1524590982.1435688 
 01/13  13:00:00,805214287.1996835,1407891560.4622302 
 01/13  14:00:00,805214287.1996835,1524590982.1435688 
 01/13  15:00:00,805214287.1996835,1524590982.1435688 
 01/13  16:00:00,806597797.0860323,1524590982.1435688 
 01/13  17:00:00,887966770.6595374,1524590982.1435688 
 01/13  18:00:00,520153604.193784,1057793295.4182141 
 01/13  19:00:00,312092162.51627046,941093873.736875 
 01/13  20:00:00,312092162.51627046,941093873.736875 
 01/13  21:00:00,208061441.6775136,941093873.736875 
 01/13  22:00:00,208061441.6775136,941093873.736875 
 01/13  23:00:00,104030720.8387568,941093873.736875 
 01/13  24:00:00,52015360.4193784,941093873.736875 
 01/14  01:00:00,41707937.258317545,746122165.6661774 
 01/14  02:00:00,36464788.34797145,746122165.6661774 
 01/14  03:00:00,36464788.34797145,746122165.6661774 
 01/14  04:00:00,36464788.34797145,746122165.6661774 
 01/14  05:00:00,36464788.34797145,746122165.6661774 
 01/14  06:00:00,36464788.34797145,746122165.6661774 
 01/14  07:00:00,87445560.3280437,941093873.736875 
 01/14  08:00:00,97593005.88018623,941093873.736875 
 01/14  09:00:00,268404762.39989462,1057793295.4182141 
 01/14  10:00:00,268404762.39989462,1057793295.4182141 
 01/14  11:00:00,268404762.39989462,1057793295.4182141 
 01/14  12:00:00,268404762.39989462,1057793295.4182141 
 01/14  13:00:00,134329373.74649274,882744162.8962058 
 01/14  14:00:00,134202381.19994731,882744162.8962058 
 01/14  15:00:00,134202381.19994731,882744162.8962058 
 01/14  16:00:00,135503228.0499478,882744162.8962058 
 01/14  17:00:00,148202948.4793488,882744162.8962058 
 01/14  18:00:00,52015360.4193784,824394452.0555365 
 01/14  19:00:00,52015360.4193784,824394452.0555365 
 01/14  20:00:00,41707937.258317545,746122165.6661774 
 01/14  21:00:00,36464788.34797145,746122165.6661774 
 01/14  22:00:00,36464788.34797145,746122165.6661774 
 01/14  23:00:00,36464788.34797145,746122165.6661774 
 01/14  24:00:00,36464788.34797145,746122165.6661774 
 01/15  01:00:00,36464788.34797145,746122165.6661774 
 01/15  02:00:00,36464788.34797145,746122165.6661774 
 01/15  03:00:00,36464788.34797145,746122165.6661774 
 01/15  04:00:00,36464788.34797145,746122165.6661774 
 01/15  05:00:00,36464788.34797145,746122165.6661774 
 01/15  06:00:00,36464788.34797145,746122165.6661774 
 01/15  07:00:00,48092070.92212643,824394452.0555365 
 01/15  08:00:00,49313703.24736874,824394452.0555365 
 01/15  09:00:00,44819224.21574843,824394452.0555365 
 01/15  10:00:00,44734127.06664909,824394452.0555365 
 01/15  11:00:00,44734127.06664909,824394452.0555365 
 01/15  12:00:00,44734127.06664909,824394452.0555365 
 01/15  13:00:00,44734127.06664909,824394452.0555365 
 01/15  14:00:00,44734127.06664909,824394452.0555365 
 01/15  15:00:00,44734127.06664909,824394452.0555365 
 01/15  16:00:00,45158852.43712683,824394452.0555365 
 01/15  17:00:00,49373414.05963774,824394452.0555365 
 01/15  18:00:00,52015360.4193784,824394452.0555365 
 01/15  19:00:00,41707937.258317545,746122165.6661774 
 01/15  20:00:00,36464788.34797145,746122165.6661774 
 01/15  21:00:00,36464788.34797145,746122165.6661774 
 01/15  22:00:00,36464788.34797145,746122165.6661774 
 01/15  23:00:00,36464788.34797145,746122165.6661774 
 01/15  24:00:00,36464788.34797145,746122165.6661774 
 01/16  01:00:00,36464788.34797145,746122165.6661774 
 01/16  02:00:00,36464788.34797145,746122165.6661774 
 01/16  03:00:00,36464788.34797145,746122165.6661774 
 01/16  04:00:00,36464788.34797145,746122165.6661774 
 01/16  05:00:00,36464788.34797145,746122165.6661774 
 01/16  06:00:00,36464788.34797145,746122165.6661774 
 01/16  07:00:00,48092070.92212643,824394452.0555365 
 01/16  08:00:00,49324625.229952164,824394452.0555365 
 01/16  09:00:00,44827095.16468562,824394452.0555365 
 01/16  10:00:00,44734127.06664909,824394452.0555365 
 01/16  11:00:00,44734127.06664909,824394452.0555365 
 01/16  12:00:00,44734127.06664909,824394452.0555365 
 01/16  13:00:00,44734127.06664909,824394452.0555365 
 01/16  14:00:00,44734127.06664909,824394452.0555365 
 01/16  15:00:00,44734127.06664909,824394452.0555365 
 01/16  16:00:00,44804405.31977152,824394452.0555365 
 01/16  17:00:00,50260410.328729875,824394452.0555365 
 01/16  18:00:00,52015360.4193784,824394452.0555365 
 01/16  19:00:00,41707937.258317545,746122165.6661774 
 01/16  20:00:00,36464788.34797145,746122165.6661774 
 01/16  21:00:00,36464788.34797145,746122165.6661774 
 01/16  22:00:00,36464788.34797145,746122165.6661774 
 01/16  23:00:00,36464788.34797145,746122165.6661774 
 01/16  24:00:00,36464788.34797145,746122165.6661774 
 01/17  01:00:00,36464788.34797145,836730825.2177298 
 01/17  02:00:00,36464788.34797145,836730825.2177298 
 01/17  03:00:00,36464788.34797145,836730825.2177298 
 01/17  04:00:00,36464788.34797145,836730825.2177298 
 01/17  05:00:00,36464788.34797145,836730825.2177298 
 01/17  06:00:00,37975250.63110626,836730825.2177298 
 01/17  07:00:00,87445560.3280437,941093873.736875 
 01/17  08:00:00,296070535.6871855,941093873.736875 
 01/17  09:00:00,807039948.9915117,1524590982.1435688 
 01/17  10:00:00,805214287.1996835,1524590982.1435688 
 01/17  11:00:00,805214287.1996835,1524590982.1435688 
 01/17  12:00:00,805214287.1996835,1524590982.1435688 
 01/17  13:00:00,805214287.1996835,1407891560.4622302 
 01/17  14:00:00,805214287.1996835,1524590982.1435688 
 01/17  15:00:00,805214287.1996835,1524590982.1435688 
 01/17  16:00:00,808716984.8147427,1524590982.1435688 
 01/17  17:00:00,886252935.4372703,1524590982.1435688 
 01/17  18:00:00,520153604.193784,1057793295.4182141 
 01/17  19:00:00,312092162.51627046,941093873.736875 
 01/17  20:00:00,312092162.51627046,941093873.736875 
 01/17  21:00:00,208061441.6775136,941093873.736875 
 01/17  22:00:00,208061441.6775136,941093873.736875 
 01/17  23:00:00,104030720.8387568,941093873.736875 
 01/17  24:00:00,52015360.4193784,941093873.736875 
 01/18  01:00:00,41707937.258317545,836730825.2177298 
 01/18  02:00:00,36464788.34797145,836730825.2177298 
 01/18  03:00:00,36464788.34797145,836730825.2177298 
 01/18  04:00:00,36464788.34797145,836730825.2177298 
 01/18  05:00:00,36464788.34797145,836730825.2177298 
 01/18  06:00:00,37975250.63110626,836730825.2177298 
 01/18  07:00:00,87445560.3280437,941093873.736875 
 01/18  08:00:00,295346299.72141254,941093873.736875 
 01/18  09:00:00,806582848.329636,1524590982.1435688 
 01/18  10:00:00,805214287.1996835,1524590982.1435688 
 01/18  11:00:00,805214287.1996835,1524590982.1435688 
 01/18  12:00:00,805214287.1996835,1524590982.1435688 
 01/18  13:00:00,805214287.1996835,1407891560.4622302 
 01/18  14:00:00,805214287.1996835,1524590982.1435688 
 01/18  15:00:00,805214287.1996835,1524590982.1435688 
 01/18  16:00:00,808407295.9060988,1524590982.1435688 
 01/18  17:00:00,883412219.5292691,1524590982.1435688 
 01/18  18:00:00,520153604.193784,1057793295.4182141 
 01/18  19:00:00,312092162.51627046,941093873.736875 
 01/18  20:00:00,312092162.51627046,941093873.736875 
 01/18  21:00:00,208061441.6775136,941093873.736875 
 01/18  22:00:00,208061441.6775136,941093873.736875 
 01/18  23:00:00,104030720.8387568,941093873.736875 
 01/18  24:00:00,52015360.4193784,941093873.736875 
 01/19  01:00:00,41707937.258317545,836730825.2177298 
 01/19  02:00:00,36464788.34797145,836730825.2177298 
 01/19  03:00:00,36464788.34797145,836730825.2177298 
 01/19  04:00:00,36464788.34797145,836730825.2177298 
 01/19  05:00:00,36464788.34797145,836730825.2177298 
 01/19  06:00:00,37975250.63110626,836730825.2177298 
 01/19  07:00:00,87445560.3280437,941093873.736875 
 01/19  08:00:00,295431739.1776073,941093873.736875 
 01/19  09:00:00,806690689.9069469,1524590982.1435688 
 01/19  10:00:00,805214287.1996835,1524590982.1435688 
 01/19  11:00:00,805214287.1996835,1524590982.1435688 
 01/19  12:00:00,805214287.1996835,1524590982.1435688 
 01/19  13:00:00,805214287.1996835,1407891560.4622302 
 01/19  14:00:00,805214287.1996835,1524590982.1435688 
 01/19  15:00:00,805214287.1996835,1524590982.1435688 
 01/19  16:00:00,808561474.158145,1524590982.1435688 
 01/19  17:00:00,885380861.3400176,1524590982.1435688 
 01/19  18:00:00,520153604.193784,1057793295.4182141 
 01/19  19:00:00,312092162.51627046,941093873.736875 
 01/19  20:00:00,312092162.51627046,941093873.736875 
 01/19  21:00:00,208061441.6775136,941093873.736875 
 01/19  22:00:00,208061441.6775136,941093873.736875 
 01/19  23:00:00,104030720.8387568,941093873.736875 
 01/19  24:00:00,52015360.4193784,941093873.736875 
 01/20  01:00:00,41707937.258317545,836730825.2177298 
 01/20  02:00:00,36464788.34797145,836730825.2177298 
 01/20  03:00:00,36464788.34797145,836730825.2177298 
 01/20  04:00:00,36464788.34797145,836730825.2177298 
 01/20  05:00:00,36464788.34797145,836730825.2177298 
 01/20  06:00:00,37975250.63110626,836730825.2177298 
 01/20  07:00:00,87445560.3280437,941093873.736875 
 01/20  08:00:00,295723019.55035824,941093873.736875 
 01/20  09:00:00,806998969.0196688,1524590982.1435688 
 01/20  10:00:00,805214287.1996835,1524590982.1435688 
 01/20  11:00:00,805214287.1996835,1524590982.1435688 
 01/20  12:00:00,805214287.1996835,1524590982.1435688 
 01/20  13:00:00,805214287.1996835,1407891560.4622302 
 01/20  14:00:00,805214287.1996835,1524590982.1435688 
 01/20  15:00:00,806301356.4364321,1524590982.1435688 
 01/20  16:00:00,824140713.6880009,1524590982.1435688 
 01/20  17:00:00,914164884.1452956,1524590982.1435688 
 01/20  18:00:00,520153604.193784,1057793295.4182141 
 01/20  19:00:00,312092162.51627046,941093873.736875 
 01/20  20:00:00,312092162.51627046,941093873.736875 
 01/20  21:00:00,208061441.6775136,941093873.736875 
 01/20  22:00:00,208061441.6775136,941093873.736875 
 01/20  23:00:00,104030720.8387568,941093873.736875 
 01/20  24:00:00,52015360.4193784,941093873.736875 
 01/21  01:00:00,41707937.258317545,746122165.6661774 
 01/21  02:00:00,36464788.34797145,746122165.6661774 
 01/21  03:00:00,36464788.34797145,746122165.6661774 
 01/21  04:00:00,36464788.34797145,746122165.6661774 
 01/21  05:00:00,36464788.34797145,746122165.6661774 
 01/21  06:00:00,36464788.34797145,746122165.6661774 
 01/21  07:00:00,87445560.3280437,941093873.736875 
 01/21  08:00:00,100086913.6186097,941093873.736875 
 01/21  09:00:00,270667270.75409555,1057793295.4182141 
 01/21  10:00:00,269344770.17607045,1057793295.4182141 
 01/21  11:00:00,268404762.39989462,1057793295.4182141 
 01/21  12:00:00,268404762.39989462,1057793295.4182141 
 01/21  13:00:00,134202381.19994731,882744162.8962058 
 01/21  14:00:00,134202381.19994731,882744162.8962058 
 01/21  15:00:00,134210540.22865498,882744162.8962058 
 01/21  16:00:00,136350779.44632453,882744162.8962058 
