Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,36464788.34797145,746122165.6661774 
 01/01  02:00:00,36464788.34797145,746122165.6661774 
 01/01  03:00:00,36464788.34797145,746122165.6661774 
 01/01  04:00:00,36464788.34797145,746122165.6661774 
 01/01  05:00:00,36464788.34797145,746122165.6661774 
 01/01  06:00:00,36464788.34797145,746122165.6661774 
 01/01  07:00:00,48092070.92212643,824394452.0555365 
 01/01  08:00:00,48903468.63444715,824394452.0555365 
 01/01  09:00:00,44734127.06664909,824394452.0555365 
 01/01  10:00:00,45060566.26226646,824394452.0555365 
 01/01  11:00:00,44734127.06664909,824394452.0555365 
 01/01  12:00:00,44734127.06664909,824394452.0555365 
 01/01  13:00:00,44734127.06664909,824394452.0555365 
 01/01  14:00:00,44734127.06664909,824394452.0555365 
 01/01  15:00:00,45401182.76961151,824394452.0555365 
 01/01  16:00:00,45914645.57597572,824394452.0555365 
 01/01  17:00:00,50185713.955208674,824394452.0555365 
 01/01  18:00:00,52015360.4193784,824394452.0555365 
 01/01  19:00:00,41707937.258317545,746122165.6661774 
 01/01  20:00:00,36464788.34797145,746122165.6661774 
 01/01  21:00:00,36464788.34797145,746122165.6661774 
 01/01  22:00:00,36464788.34797145,746122165.6661774 
 01/01  23:00:00,36464788.34797145,746122165.6661774 
 01/01  24:00:00,36464788.34797145,746122165.6661774 
 01/02  01:00:00,36464788.34797145,836730825.2177298 
 01/02  02:00:00,36464788.34797145,836730825.2177298 
 01/02  03:00:00,36464788.34797145,836730825.2177298 
 01/02  04:00:00,36464788.34797145,836730825.2177298 
 01/02  05:00:00,36464788.34797145,836730825.2177298 
 01/02  06:00:00,37975250.63110626,836730825.2177298 
 01/02  07:00:00,87445560.3280437,941093873.736875 
 01/02  08:00:00,297228111.6642113,941093873.736875 
 01/02  09:00:00,810789611.958758,1524590982.1435688 
 01/02  10:00:00,810486028.8633693,1524590982.1435688 
 01/02  11:00:00,806484840.0294733,1524590982.1435688 
 01/02  12:00:00,805214287.1996835,1524590982.1435688 
 01/02  13:00:00,805214287.1996835,1407891560.4622302 
 01/02  14:00:00,808036544.1257861,1524590982.1435688 
 01/02  15:00:00,805214287.1996835,1524590982.1435688 
 01/02  16:00:00,844201598.4548233,1524590982.1435688 
 01/02  17:00:00,905388962.4912078,1524590982.1435688 
 01/02  18:00:00,520153604.193784,1057793295.4182141 
 01/02  19:00:00,312092162.51627046,941093873.736875 
 01/02  20:00:00,312092162.51627046,941093873.736875 
 01/02  21:00:00,208061441.6775136,941093873.736875 
 01/02  22:00:00,208061441.6775136,941093873.736875 
 01/02  23:00:00,104030720.8387568,941093873.736875 
 01/02  24:00:00,52015360.4193784,941093873.736875 
 01/03  01:00:00,41707937.258317545,836730825.2177298 
 01/03  02:00:00,36464788.34797145,836730825.2177298 
 01/03  03:00:00,36464788.34797145,836730825.2177298 
 01/03  04:00:00,36464788.34797145,836730825.2177298 
 01/03  05:00:00,36464788.34797145,836730825.2177298 
 01/03  06:00:00,37975250.63110626,836730825.2177298 
 01/03  07:00:00,87445560.3280437,941093873.736875 
 01/03  08:00:00,296564767.3457603,941093873.736875 
 01/03  09:00:00,807946551.7747127,1524590982.1435688 
 01/03  10:00:00,805214287.1996835,1524590982.1435688 
 01/03  11:00:00,805214287.1996835,1524590982.1435688 
 01/03  12:00:00,805214287.1996835,1524590982.1435688 
 01/03  13:00:00,805214287.1996835,1407891560.4622302 
 01/03  14:00:00,805214287.1996835,1524590982.1435688 
 01/03  15:00:00,805214287.1996835,1524590982.1435688 
 01/03  16:00:00,813704263.0195842,1524590982.1435688 
 01/03  17:00:00,903931855.3495528,1524590982.1435688 
 01/03  18:00:00,520153604.193784,1057793295.4182141 
 01/03  19:00:00,312092162.51627046,941093873.736875 
 01/03  20:00:00,312092162.51627046,941093873.736875 
 01/03  21:00:00,208061441.6775136,941093873.736875 
 01/03  22:00:00,208061441.6775136,941093873.736875 
 01/03  23:00:00,104030720.8387568,941093873.736875 
 01/03  24:00:00,52015360.4193784,941093873.736875 
 01/04  01:00:00,41707937.258317545,836730825.2177298 
 01/04  02:00:00,36464788.34797145,836730825.2177298 
 01/04  03:00:00,36464788.34797145,836730825.2177298 
 01/04  04:00:00,36464788.34797145,836730825.2177298 
 01/04  05:00:00,36464788.34797145,836730825.2177298 
 01/04  06:00:00,37975250.63110626,836730825.2177298 
 01/04  07:00:00,87445560.3280437,941093873.736875 
 01/04  08:00:00,308387294.13156927,941093873.736875 
 01/04  09:00:00,846235626.182602,1524590982.1435688 
 01/04  10:00:00,805214287.1996835,1524590982.1435688 
 01/04  11:00:00,805214287.1996835,1524590982.1435688 
 01/04  12:00:00,810392844.7408993,1524590982.1435688 
 01/04  13:00:00,808431478.6540548,1407891560.4622302 
 01/04  14:00:00,805214287.1996835,1524590982.1435688 
 01/04  15:00:00,805214287.1996835,1524590982.1435688 
 01/04  16:00:00,808363006.0860059,1524590982.1435688 
 01/04  17:00:00,898808127.2591788,1524590982.1435688 
 01/04  18:00:00,520153604.193784,1057793295.4182141 
 01/04  19:00:00,312092162.51627046,941093873.736875 
 01/04  20:00:00,312092162.51627046,941093873.736875 
 01/04  21:00:00,208061441.6775136,941093873.736875 
 01/04  22:00:00,208061441.6775136,941093873.736875 
 01/04  23:00:00,104030720.8387568,941093873.736875 
 01/04  24:00:00,52015360.4193784,941093873.736875 
 01/05  01:00:00,41707937.258317545,836730825.2177298 
 01/05  02:00:00,36464788.34797145,836730825.2177298 
 01/05  03:00:00,36464788.34797145,836730825.2177298 
 01/05  04:00:00,36464788.34797145,836730825.2177298 
 01/05  05:00:00,36464788.34797145,836730825.2177298 
 01/05  06:00:00,37975250.63110626,836730825.2177298 
 01/05  07:00:00,87445560.3280437,941093873.736875 
 01/05  08:00:00,308389544.3506372,941093873.736875 
 01/05  09:00:00,867531178.9984863,1524590982.1435688 
 01/05  10:00:00,814669189.2565378,1524590982.1435688 
 01/05  11:00:00,805214287.1996835,1524590982.1435688 
 01/05  12:00:00,805214287.1996835,1524590982.1435688 
 01/05  13:00:00,805214287.1996835,1407891560.4622302 
 01/05  14:00:00,805214287.1996835,1524590982.1435688 
 01/05  15:00:00,805214287.1996835,1524590982.1435688 
 01/05  16:00:00,819395366.2323672,1524590982.1435688 
 01/05  17:00:00,899425921.1540653,1524590982.1435688 
 01/05  18:00:00,520153604.193784,1057793295.4182141 
 01/05  19:00:00,312092162.51627046,941093873.736875 
 01/05  20:00:00,312092162.51627046,941093873.736875 
 01/05  21:00:00,208061441.6775136,941093873.736875 
 01/05  22:00:00,208061441.6775136,941093873.736875 
 01/05  23:00:00,104030720.8387568,941093873.736875 
 01/05  24:00:00,52015360.4193784,941093873.736875 
 01/06  01:00:00,41707937.258317545,836730825.2177298 
 01/06  02:00:00,36464788.34797145,836730825.2177298 
 01/06  03:00:00,36464788.34797145,836730825.2177298 
 01/06  04:00:00,36464788.34797145,836730825.2177298 
 01/06  05:00:00,36464788.34797145,836730825.2177298 
 01/06  06:00:00,37975250.63110626,836730825.2177298 
 01/06  07:00:00,87445560.3280437,941093873.736875 
 01/06  08:00:00,296824775.1277878,941093873.736875 
 01/06  09:00:00,808381966.4676796,1524590982.1435688 
 01/06  10:00:00,805214287.1996835,1524590982.1435688 
 01/06  11:00:00,805214287.1996835,1524590982.1435688 
 01/06  12:00:00,805214287.1996835,1524590982.1435688 
 01/06  13:00:00,805214287.1996835,1407891560.4622302 
 01/06  14:00:00,805214287.1996835,1524590982.1435688 
 01/06  15:00:00,805214287.1996835,1524590982.1435688 
 01/06  16:00:00,815101605.9270538,1524590982.1435688 
 01/06  17:00:00,897457741.1636697,1524590982.1435688 
 01/06  18:00:00,520153604.193784,1057793295.4182141 
 01/06  19:00:00,312092162.51627046,941093873.736875 
 01/06  20:00:00,312092162.51627046,941093873.736875 
 01/06  21:00:00,208061441.6775136,941093873.736875 
 01/06  22:00:00,208061441.6775136,941093873.736875 
 01/06  23:00:00,104030720.8387568,941093873.736875 
 01/06  24:00:00,52015360.4193784,941093873.736875 
 01/07  01:00:00,41707937.258317545,746122165.6661774 
 01/07  02:00:00,36464788.34797145,746122165.6661774 
 01/07  03:00:00,36464788.34797145,746122165.6661774 
 01/07  04:00:00,36464788.34797145,746122165.6661774 
 01/07  05:00:00,36464788.34797145,746122165.6661774 
 01/07  06:00:00,36464788.34797145,746122165.6661774 
 01/07  07:00:00,87445560.3280437,941093873.736875 
 01/07  08:00:00,98883638.29695751,941093873.736875 
 01/07  09:00:00,269398583.35815656,1057793295.4182141 
 01/07  10:00:00,268404762.39989462,1057793295.4182141 
 01/07  11:00:00,268404762.39989462,1057793295.4182141 
 01/07  12:00:00,268404762.39989462,1057793295.4182141 
 01/07  13:00:00,134202381.19994731,882744162.8962058 
 01/07  14:00:00,134202381.19994731,882744162.8962058 
 01/07  15:00:00,134202381.19994731,882744162.8962058 
