timestamp,oat[C],elec_hvac[J],solar[W/m2],zone_load_rate[W]
1483228800,5.874999999999999,17700506.16503282,0.0,-168631.43238516667
1483229700,6.15,15531079.341591008,0.0,-166643.80137383242
1483230600,6.425000000000001,15429558.24399758,0.0,-165284.92242723762
1483231500,6.7,15353688.94353667,0.0,-164720.77929625558
1483232400,5.8500000000000005,15332458.285805838,0.0,-162797.7164096361
1483233300,5.0,15293195.657561881,0.0,-160376.5338606044
1483234200,4.1499999999999995,15326763.66177302,0.0,-158248.7872921918
1483235100,3.3,15352587.567069894,0.0,-156272.87431930468
1483236000,3.175,14722155.685644167,0.0,-151280.46187608544
1483236900,3.05,14674738.715827713,0.0,-148801.89055738243
1483237800,2.925,14653249.78608084,0.0,-147363.63057192322
1483238700,2.8,14637735.297900723,0.0,-146198.1717694043
1483239600,2.925,14618744.156164391,0.0,-145420.8896906822
1483240500,3.05,14603106.62889628,0.0,-144670.15667647295
1483241400,3.175,14589548.435708644,0.0,-144054.45972798497
1483242300,3.3,14577612.966544589,0.0,-143484.11996189723
1483243200,3.175,14821610.765067317,0.0,-143793.124726531
1483244100,3.05,14800932.238179743,0.0,-143393.96576888132
1483245000,2.925,14800528.664445007,0.0,-142585.5636617282
1483245900,2.8,14800093.48309649,0.0,-141688.6818692205
1483246800,3.0749999999999997,14836114.009307437,0.0,-141680.29812291235
1483247700,3.3499999999999996,14928999.180427376,0.0,-142296.929149681
1483248600,3.625,14925445.50995905,0.0,-142293.2520717942
1483249500,3.9,14917158.530839754,0.0,-142194.6396965936
1483250400,3.75,16298007.908712156,0.0,-151053.4675823645
1483251300,3.5999999999999996,16741845.560016723,0.0,-153575.097342403
1483252200,3.4499999999999997,16832972.702503912,0.0,-154125.3171407785
1483253100,3.3,16904526.542635154,0.0,-154005.60691255514
1483254000,3.4499999999999997,18552007.232901372,0.0,-161261.4438409672
1483254900,3.5999999999999996,18674885.375444982,232.0,-168062.52385273445
1483255800,3.75,18755768.55927753,361.5,-172084.399763728
1483256700,3.9,15309665.541799013,491.0,-178141.91475377057
1483257600,4.875,16058386.915828677,620.5,-179474.1328656528
1483258500,5.85,16542312.01150209,750.0,-184380.45069506348
1483259400,6.824999999999999,16791099.424955346,789.5,-189220.40532649052
1483260300,7.8,17037375.144920763,829.0,-194389.90423683083
1483261200,8.774999999999999,20338047.24370141,868.5,-199173.79055600558
1483262100,9.75,19499356.740482688,908.0,-198938.27151951444
1483263000,10.724999999999998,19238030.199642234,925.0,-212048.69361335103
1483263900,11.7,18938997.649840705,942.0,-221082.55969204893
1483264800,12.099999999999998,19306212.480365958,959.0,-215194.87358806454
1483265700,12.5,19430287.384520486,976.0,-219564.36590786345
1483266600,12.900000000000002,19524381.47886835,983.5,-224847.50902149495
1483267500,13.3,15710575.730741128,991.0,-226220.42706287626
1483268400,13.725000000000001,15459754.531743215,998.5,-221730.84399275528
1483269300,14.15,15512105.598734573,1006.0,-226011.608773491
1483270200,14.575,16239021.944072993,1008.0,-232995.9903211711
1483271100,15.0,15981746.092615714,1010.0,-235691.18131241348
1483272000,15.55,15673882.065984232,1012.0,-237767.07204613922
1483272900,16.1,15608272.532461625,1014.0,-240926.03050424944
1483273800,16.65,16141466.936180066,1011.25,-244550.99598779052
1483274700,17.2,16119202.716526153,1008.5,-248000.12870284118
1483275600,17.474999999999998,16424924.318981495,1005.75,-247758.43224236075
1483276500,17.75,16318606.783047795,1003.0,-247169.3643224165
1483277400,18.025000000000002,16257066.876830384,993.75,-247606.40065269807
1483278300,18.3,16248800.254156828,984.5,-248648.09098747757
1483279200,18.450000000000003,15082144.816186616,975.25,-241118.12869249476
1483280100,18.6,14925299.192771647,966.0,-240222.02402172692
1483281000,18.75,14870107.171477534,947.75,-239809.13390760613
1483281900,18.9,14802208.588812308,929.5,-239260.94004196455
1483282800,18.9,14787463.106941942,911.25,-238459.99534499348
1483283700,18.9,14773967.287905717,893.0,-237419.52299067072
1483284600,18.9,14715382.82635088,849.0,-235306.57317075657
1483285500,18.9,14637408.447347334,805.0,-232679.11609226372
1483286400,18.75,17656689.983555578,761.0,-243264.02032012265
1483287300,18.6,16539223.098423598,717.0,-247005.49006789376
1483288200,18.450000000000003,16239526.853408594,582.25,-243346.57916586043
1483289100,18.3,15935622.057806682,447.5,-237318.10365973602
1483290000,17.325000000000003,16027723.723788887,312.75,-233347.70034051518
1483290900,16.35,15908703.600709638,0.0,-221460.14805173935
1483291800,15.375,16001962.296163134,0.0,-213927.89845438284
1483292700,14.4,14475806.563600447,0.0,-197548.454685056
1483293600,13.850000000000001,16739273.00515716,0.0,-208120.36144642415
1483294500,13.3,17268052.260965742,0.0,-207209.54508997864
1483295400,12.749999999999998,17464111.93716736,0.0,-204412.84985803155
1483296300,12.2,17593064.49099081,0.0,-202127.7866108612
1483297200,11.649999999999999,23128943.818889156,0.0,-224546.0134460047
1483298100,11.1,22981368.97302709,0.0,-219748.93158203294
1483299000,10.55,23183688.572674695,0.0,-223888.56839686324
1483299900,10.0,23272545.151038975,0.0,-219888.27042273083
1483300800,9.725,24591604.10814979,0.0,-227134.64793200183
1483301700,9.45,24565888.07283017,0.0,-228489.35385899554
1483302600,9.175,24584623.14982684,0.0,-228716.02470915124
1483303500,8.9,24655775.469690282,0.0,-228721.22980394587
1483304400,8.350000000000001,22681392.138564467,0.0,-228443.84059883788
1483305300,7.800000000000001,22502990.88191444,0.0,-227859.7256416259
1483306200,7.25,22373840.538565364,0.0,-226618.37068703983
1483307100,6.7,22278016.669914644,0.0,-225116.88373332482
1483308000,6.425000000000001,20399422.032321867,0.0,-210243.17397480248
1483308900,6.15,20087257.324368313,0.0,-207420.9283097684
1483309800,5.874999999999999,20030809.655440375,0.0,-205606.52440710532
1483310700,5.6,19985846.56133111,0.0,-204237.51278403134
1483311600,5.6,17943564.722002782,0.0,-189605.89513070145
1483312500,5.6,17549946.922831643,0.0,-181960.3044951148
1483313400,5.6,18388682.55746911,0.0,-183111.325799995
1483314300,5.6,17534328.829778448,0.0,-180281.97416469443
1483315200,5.725,15055341.035009665,0.0,-173978.45629795355
1483316100,5.85,14864809.757136123,0.0,-170581.32341661336
1483317000,5.975,14754120.838066457,0.0,-169591.7170318024
