timestamp,oat[C],elec_hvac[J],solar[W/m2],zone_load_rate[W]
1483228800,-6,119261608.6,0,21349.11513
1483229700,-5,119943039.8,0,287394.2189
1483230600,-4,113352487.4,0,104468.3539
1483231500,-3,124596405.9,0,8957.038971
1483232400,-3,118362007.9,0,201057.389
1483233300,-3,105247505.6,0,108662.6104
1483234200,-3,119771064.7,0,9328.762311
1483235100,-3,132263774.9,0,223221.0232
1483236000,-3.25,117784491.1,0,118065.4074
1483236900,-3.5,121574274.3,0,10670.65535
1483237800,-3.75,123316188.2,0,224539.2514
1483238700,-4,108782257.4,0,117028.9696
1483239600,-3.5,121477446.4,0,10433.06784
1483240500,-3,122715114.6,0,222855.3958
1483241400,-2.5,107622684.6,0,111623.2917
1483242300,-2,120100595.9,0,9494.583728
1483243200,-2,120935221.5,0,224167.4605
1483244100,-2,105511882.6,0,122558.0516
1483245000,-2,117735204.6,0,11720.66503
1483245900,-2,118567843.2,0,242332.4608
1483246800,-1.75,102782791.8,0,120832.1273
1483247700,-1.5,114576528.8,0,10692.30605
1483248600,-1.25,114908276.7,0,209808.2272
1483249500,-1,108267634.4,0,89058.99766
1483250400,-1,120359434.3,0,6794.784977
1483251300,-1,111607538.7,0,201131.8832
1483252200,-1,95958373.38,0,108212.8411
1483253100,-1,107956783.4,0,9128.80939
1483254000,-1,109568170.4,0,217747.3308
1483254900,-1,104282184.3,119,92896.7397
1483255800,-1,117283211.8,209.25,5196.302982
1483256700,-1,109533317.9,299.5,132588.5439
1483257600,-0.75,95261862.89,389.75,40034.3334
1483258500,-0.5,94035853.49,480,0
1483259400,-0.25,120085641.4,360,83408.32823
1483260300,0,120548569.6,240,33957.17283
1483261200,0.5,95630247.34,120,0
1483262100,1,98053936.15,0,93710.2407
1483263000,1.5,113595091.9,163.5,35210.48514
1483263900,2,122357381.5,327,-805.0288784
1483264800,2,109335668.2,490.5,55126.38683
1483265700,2,99965798.79,654,8337.087835
1483266600,2,98339146.17,564.5,0
1483267500,2,99961476.87,475,37803.97711
1483268400,1.75,109979344.3,385.5,8258.448499
1483269300,1.5,108979953.2,296,0
1483270200,1.25,101832332.3,246,54658.50611
1483271100,1,102390707.8,196,17646.50426
1483272000,1.5,102593579.1,146,0
1483272900,2,115613327.4,96,56211.62151
1483273800,2.5,117876505.3,75,6954.384704
1483274700,3,109404575.3,54,0
1483275600,2.75,111440281.7,33,47408.72792
1483276500,2.5,111823573.7,12,18217.1145
1483277400,2.25,119920199.6,9,0
1483278300,2,121876069.3,6,76737.16245
1483279200,1.75,126430485.2,3,35187.2917
1483280100,1.5,124118138.4,0,383.7486592
1483281000,1.25,110444265,0,107425.4686
1483281900,1,133809308.6,0,44622.90625
1483282800,1,132180647.6,0,472.9062384
1483283700,1,109799250.7,0,113110.6726
1483284600,1,124428640.8,42.5,35489.2593
1483285500,1,122801699.9,85,142.5173504
1483286400,0.75,118561877.2,127.5,89621.21518
1483287300,0.5,132639295.9,170,36706.46412
1483288200,0.25,121121362,0,915.2306959
1483289100,0,107598862.5,0,129249.5319
1483290000,-0.25,121691821.8,0,70113.66698
1483290900,-0.5,128915226.7,0,1567.597095
1483291800,-0.75,115411915.6,0,163064.2842
1483292700,-1,120219179.2,0,83161.6837
1483293600,-1.25,119635561.4,0,2572.280221
1483294500,-1.5,107684288.5,0,195906.4715
1483295400,-1.75,132677808.1,0,94255.79944
1483296300,-2,131989512.6,0,2759.652991
1483297200,-2.5,109857564.7,0,222537.0498
1483298100,-3,124680191.1,0,127959.4854
1483299000,-3.5,123193721.9,0,5989.301528
1483299900,-4,119656780.2,0,303003.2055
1483300800,-4.25,133196973,0,153051.7904
1483301700,-4.5,121192431.4,0,5329.525328
1483302600,-4.75,107209419.2,0,287928.7862
1483303500,-5,120923420.5,0,135107.8504
1483304400,-5.25,127561657.6,0,4605.719901
1483305300,-5.5,113506415.3,0,262259.223
1483306200,-5.75,117792205.1,0,135342.231
1483307100,-6,115231729.9,0,4419.681181
1483308000,-6.25,103477331.8,0,268017.2865
1483308900,-6.5,128657491.2,0,168205.5174
1483309800,-6.75,128145029.7,0,7680.67266
1483310700,-7,106898139.7,0,335970.2747
1483311600,-7,121730366.7,0,199801.9585
1483312500,-7,119841013.8,0,8179.561644
1483313400,-7,116324772.9,0,354966.8052
1483314300,-7,131200475.4,0,204901.9615
1483315200,-7.5,120021735.3,0,6335.647078
1483316100,-8,107042614.4,0,300378.2744
1483317000,-8.5,121645350.1,0,135383.348
1483317900,-9,129341281.1,0,1666.180646
1483318800,-9.25,115956109.2,0,215001.014
1483319700,-9.5,120872133.9,0,121845.5632
1483320600,-9.75,118901019.5,0,3618.050227
1483321500,-10,105551150.9,0,222561.5563
1483322400,-10,129546096.6,0,127275.3956
1483323300,-10,127921098.4,0,3848.508059
1483324200,-10,105544501.6,0,227497.1706
1483325100,-10,120176901,0,129523.6495
1483326000,-10.25,127901373.4,0,4951.163008
1483326900,-10.5,114867408.7,0,255558.8064
1483327800,-10.75,120114364.2,0,168506.8469
1483328700,-11,118456381,0,7165.278833
1483329600,-11.25,115828607,0,451422.0486
1483330500,-11.5,133935507.4,0,392318.6219
1483331400,-11.75,118640081.7,0,21833.09533
1483332300,-12,115745193.6,0,480032.6998
1483333200,-12.75,160219700.4,0,634229.6441
1483334100,-13.5,125598874.4,0,52918.23459
1483335000,-14.25,117385429.8,0,602872.5533
1483335900,-15,160366493.2,0,599036.1023
1483336800,-14.75,159881234.1,0,648327.0584
1483337700,-14.5,160074632.1,0,593116.9551
1483338600,-14.25,159620165.3,0,589716.5059
1483339500,-14,157794873.5,0,566807.8514
1483340400,-13.75,149288484.6,0,538672.5106
1483341300,-13.5,139561332.1,41,505420.1258
1483342200,-13.25,138188578.3,72.5,469437.9529
1483343100,-13,137130780.6,104,430164.8225
1483344000,-12.5,137653669,135.5,327436.2882
1483344900,-12,137235363,167,287632.8829
1483345800,-11.5,137285082.2,125.25,275513.5096
1483346700,-11,137045873.5,83.5,258161.9047
1483347600,-10,138055020.7,41.75,249659.8071
1483348500,-9,139182814.3,0,244825.4902
1483349400,-8,140374983,0,232193.5427
1483350300,-7,141752301.1,0,217469.0466
1483351200,-6.75,142008952.8,0,201133.7945
1483352100,-6.5,142466058.1,0,190458.469
1483353000,-6.25,142940962.5,78.5,155656.8445
1483353900,-6,143436258.9,157,119924.0845
1483354800,-6,143402121.5,235.5,87924.46702
1483355700,-6,143439959.2,314,52387.48769
1483356600,-6,143551503.2,286.25,39386.49488
1483357500,-6,143593734.8,258.5,30542.07698
1483358400,-5.75,143082236.3,230.75,48509.21804
1483359300,-5.5,143761795,203,46274.32354
1483360200,-5.25,144390582.7,152.25,48464.89151
1483361100,-5,145037219.4,101.5,65685.69862
1483362000,-5,146228221.2,50.75,59647.73254
1483362900,-5,146260425.5,0,71108.4313
1483363800,-5,146318693.3,149.75,40696.26181
1483364700,-5,146432508.6,299.5,5483.736299
1483365600,-5.25,145507179.1,449.25,-34621.23598
1483366500,-5.5,144406814.7,599,-60133.97208
1483367400,-5.75,142679607.4,449.25,-47485.38607
1483368300,-6,140782966,299.5,-22141.96363
1483369200,-6.25,139407957.8,149.75,5177.053119
1483370100,-6.5,138346539.2,0,19346.15027
1483371000,-6.75,137404608,32.5,37884.88933
1483371900,-7,136475090.2,65,30732.32375
1483372800,-7.25,136524668.4,97.5,26029.35422
1483373700,-7.5,136703574.1,130,21114.0365
1483374600,-7.75,136681973.7,0,43824.81182
1483375500,-8,136720441.5,0,50475.95988
1483376400,-8,133538366.8,0,107549.3797
1483377300,-8,133304274.6,0,117963.997
1483378200,-8,133157224.1,0,123926.1882
1483379100,-8,133024196.9,0,130289.8425
1483380000,-8.25,132821676,0,154032.4894
1483380900,-8.5,133142746.6,0,166720.3864
1483381800,-8.75,133512174.8,0,177399.4834
1483382700,-9,133889423.7,0,186342.2029
1483383600,-9.5,133822291.1,0,196555.1373
1483384500,-10,133734866.8,0,206221.9757
1483385400,-10.5,133635824,0,215528.0263
1483386300,-11,133523285.7,0,225000.3648
1483387200,-11,133112087.8,0,223430.2307
1483388100,-11,132726370.9,0,220336.0541
1483389000,-11,132347012.9,0,215641.6721
1483389900,-11,131964209.1,0,210696.0584
1483390800,-11,131952421.9,0,211869.5736
1483391700,-11,131935816.9,0,212850.4765
1483392600,-11,131923016.4,0,213031.5329
1483393500,-11,131913019,0,213929.9127
1483394400,-11.25,104721836.4,0,0
1483395300,-11.5,104884483,0,0
1483396200,-11.75,104970963.8,0,0
1483397100,-12,105020586.5,0,0
1483398000,-12,104784331.8,0,0
1483398900,-12,104774948.7,0,0
1483399800,-12,104769056.1,0,0
1483400700,-12,104762433.7,0,0
1483401600,-12.25,104486700.7,0,0
1483402500,-12.5,104370585.4,0,0
1483403400,-12.75,104248906.3,0,0
1483404300,-13,104124121.9,0,0
1483405200,-13.05,104213728.3,0,0
1483406100,-13.1,105924674.3,0,55435.41843
1483407000,-13.15,106010462.3,0,37500.56581
1483407900,-13.2,104471478.2,0,0
1483408800,-13.3,106109077.9,0,112476.1884
1483409700,-13.4,106119666.9,0,60534.98379
